Data/Hora, TI, TE, TR, Intensidade
21/03/2021 16:30:38, 35.803711, 22.150405, 54.000000, 100.000000
21/03/2021 16:30:41, 35.835938, 22.150405, 54.000000, 100.000000
21/03/2021 16:30:43, 37.350586, 22.150405, 54.000000, 100.000000
21/03/2021 16:30:45, 37.801758, 22.150405, 54.000000, 100.000000
21/03/2021 16:30:48, 37.801758, 22.150405, 54.000000, 100.000000
21/03/2021 16:30:50, 38.607422, 22.150405, 54.000000, 100.000000
21/03/2021 16:30:53, 38.639648, 22.150405, 54.000000, 100.000000
21/03/2021 16:30:55, 38.059570, 22.150405, 54.000000, 100.000000
21/03/2021 16:30:57, 37.511719, 22.150405, 54.000000, 100.000000
21/03/2021 16:31:00, 35.739258, 22.150405, 54.000000, 100.000000
21/03/2021 16:31:02, 36.416016, 22.150405, 54.000000, 100.000000
21/03/2021 16:31:05, 35.739258, 22.150405, 54.000000, 100.000000
21/03/2021 16:31:07, 36.512695, 22.150405, 54.000000, 100.000000
21/03/2021 16:31:09, 39.090820, 22.150405, 54.000000, 100.000000
21/03/2021 16:31:12, 39.445312, 22.150405, 54.000000, 100.000000
21/03/2021 16:31:14, 40.025391, 22.150405, 54.000000, 100.000000
21/03/2021 16:31:16, 40.476562, 22.150405, 54.000000, 100.000000
21/03/2021 16:31:19, 39.735352, 22.150405, 54.000000, 100.000000
21/03/2021 16:31:21, 39.219727, 22.150405, 54.000000, 100.000000
21/03/2021 16:31:24, 34.353516, 22.150405, 54.000000, 100.000000
21/03/2021 16:31:26, 34.031250, 22.150405, 54.000000, 100.000000
21/03/2021 16:31:28, 34.643555, 22.150405, 54.000000, 100.000000
21/03/2021 16:31:31, 35.288086, 22.150405, 54.000000, 100.000000
21/03/2021 16:31:33, 35.513672, 22.150405, 54.000000, 100.000000
21/03/2021 16:31:36, 40.959961, 22.150405, 54.000000, 100.000000
21/03/2021 16:31:38, 41.572266, 22.150405, 54.000000, 100.000000
21/03/2021 16:31:41, 40.702148, 22.150405, 54.000000, 100.000000
21/03/2021 16:31:43, 41.282227, 22.150405, 54.000000, 100.000000
21/03/2021 16:31:45, 41.443359, 22.150405, 54.000000, 100.000000
21/03/2021 16:31:48, 41.507812, 22.150405, 54.000000, 100.000000
21/03/2021 16:31:50, 42.120117, 22.150405, 54.000000, 100.000000
21/03/2021 16:31:53, 42.055664, 22.150405, 54.000000, 100.000000
21/03/2021 16:31:55, 42.732422, 22.150405, 54.000000, 100.000000
21/03/2021 16:31:57, 43.570312, 22.150405, 54.000000, 100.000000
21/03/2021 16:32:00, 39.509766, 22.150405, 54.000000, 100.000000
21/03/2021 16:32:02, 40.444336, 22.150405, 54.000000, 100.000000
21/03/2021 16:32:04, 41.024414, 22.150405, 54.000000, 100.000000
21/03/2021 16:32:07, 40.315430, 22.150405, 54.000000, 100.000000
21/03/2021 16:32:09, 43.924805, 22.150405, 54.000000, 100.000000
21/03/2021 16:32:12, 46.535156, 22.150405, 54.000000, 100.000000
21/03/2021 16:32:14, 46.954102, 22.150405, 54.000000, 100.000000
21/03/2021 16:32:16, 47.469727, 22.150405, 54.000000, 100.000000
21/03/2021 16:32:19, 48.114258, 22.150405, 54.000000, 100.000000
21/03/2021 16:32:21, 48.533203, 22.150405, 54.000000, 100.000000
21/03/2021 16:32:23, 46.341797, 22.150405, 54.000000, 100.000000
21/03/2021 16:32:26, 46.083984, 22.150405, 54.000000, 100.000000
21/03/2021 16:32:28, 46.760742, 22.150405, 54.000000, 100.000000
21/03/2021 16:32:31, 47.308594, 22.150405, 54.000000, 100.000000
21/03/2021 16:32:33, 48.146484, 22.150405, 54.000000, 100.000000
21/03/2021 16:32:35, 47.824219, 22.150405, 54.000000, 100.000000
21/03/2021 16:32:38, 48.307617, 22.150405, 54.000000, 100.000000
21/03/2021 16:32:40, 48.565430, 22.150405, 54.000000, 100.000000
21/03/2021 16:32:42, 48.500977, 22.150405, 54.000000, 100.000000
21/03/2021 16:32:45, 49.564453, 22.150405, 54.000000, 100.000000
21/03/2021 16:32:47, 49.983398, 22.150405, 54.000000, 100.000000
21/03/2021 16:32:49, 50.692383, 22.150405, 54.000000, 100.000000
21/03/2021 16:32:52, 50.015625, 22.150405, 54.000000, 100.000000
21/03/2021 16:32:54, 50.756836, 22.150405, 54.000000, 100.000000
21/03/2021 16:32:57, 50.112305, 22.150405, 54.000000, 100.000000
21/03/2021 16:32:59, 51.336914, 22.150405, 54.000000, 100.000000
21/03/2021 16:33:01, 52.400391, 22.150405, 54.000000, 100.000000
21/03/2021 16:33:04, 52.464844, 22.150405, 54.000000, 100.000000
21/03/2021 16:33:06, 52.529297, 22.150405, 54.000000, 100.000000
21/03/2021 16:33:08, 53.141602, 22.150405, 54.000000, 100.000000
21/03/2021 16:33:11, 52.916016, 22.150405, 54.000000, 100.000000
21/03/2021 16:33:13, 53.367188, 22.150405, 54.000000, 100.000000
21/03/2021 16:33:15, 52.529297, 22.150405, 54.000000, 100.000000
21/03/2021 16:33:18, 53.657227, 22.150405, 54.000000, 96.074219
21/03/2021 16:33:20, 53.721680, 22.150405, 54.000000, 100.000000
21/03/2021 16:33:23, 54.172852, 22.150405, 54.000000, 98.790039
21/03/2021 16:33:25, 54.108398, 22.150405, 54.000000, 98.895508
21/03/2021 16:33:27, 53.496094, 22.150405, 54.000000, 100.000000
21/03/2021 16:33:30, 53.560547, 22.150405, 54.000000, 100.000000
21/03/2021 16:33:32, 53.302734, 22.150405, 54.000000, 100.000000
21/03/2021 16:33:35, 53.463867, 22.150405, 54.000000, 100.000000
21/03/2021 16:33:37, 53.818359, 22.150405, 54.000000, 100.000000
21/03/2021 16:33:39, 56.428711, 22.150405, 54.000000, 82.741211
21/03/2021 16:33:42, 56.750977, 22.150405, 54.000000, 74.661133
21/03/2021 16:33:44, 57.008789, 22.150405, 54.000000, 67.934570
21/03/2021 16:33:47, 57.717773, 22.150405, 54.000000, 55.407227
21/03/2021 16:33:49, 57.234375, 22.150405, 54.000000, 54.900391
